store_name,item_code,item_barcode,description,category,department,sub_department,section,quantity,total_sales,rrp,supplier,date_of_sale,unit_price,price_diff,z_score,is_outlier
KAHAWA WEST,677656,993495902913,FD-WEETABIX WEETOS 420GMS,FOODS,BREAKFAST,BREAKFAST CEREALS,CEREAL POPS,1.0,599.1378784179688,420.94,WEETABIX EAST AFRICA LIMITED,2025-09-22,599.1378784179688,178.19787841796875,3.240543689466887,True
DONHOLM,230013,3712822192938,PC-KIM HUGGIES DRY SIZE4 60S,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,1464.655029296875,1078.05,KIM-FAY EAST AFRICA LIMITED,2025-09-22,1464.655029296875,386.60502929687505,7.032396107279729,True
DONHOLM,230149,5154117892224,PC-HKL-PAMPERS MINI UNISEX HC 4*32,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,990.5172119140625,727.34,HASBAH KENYA LTD,2025-09-27,990.5172119140625,263.17721191406247,4.786695488108941,True
DONHOLM,230285,7765272097158,PC-HKL-PAMPERS NEWBORNÂ  SIZE 1 HCÂ  2*34,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,990.5172119140625,1156.41,HASBAH KENYA LTD,2025-09-25,990.5172119140625,-165.89278808593758,-3.0199949735647937,True
DONHOLM,280162,8366665592776,HC-TKL HARPIC ACTIVE CITRUSTWINPACK500ML,HOMECARE,CLEANERS & POLISH,TOILET & SEPTIC CARE,TOILET CLEANER,2.0,1551.723999023438,550.78,TOWFIQ (K) LIMITED,2025-09-27,775.861999511719,225.081999511719,4.09357424612789,True
DONHOLM,401433,4288514178476,PC-HKL PAMPERS PANTS JUMBO SIZE7 35S,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER PANTS,2.0,3791.3779296875,2357.4,HASBAH KENYA LTD,2025-09-22,1895.68896484375,-461.7110351562501,-8.40224376232386,True
DONHOLM,440042,5949953151808,POP FRESH FRI OIL 3L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,749.1378784179688,914.66,PWANI OIL PRODUCTS LTD,2025-09-24,749.1378784179688,-165.52212158203122,-3.0132509022931884,True
DONHOLM,440097,8721924424649,KAP RINA VEGETABLE OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,15.0,15504.2998046875,747.8,KAPA OIL REFINERIES LTD,2025-09-26,1033.6199869791667,285.81998697916674,5.198668210803544,True
DONHOLM,440110,6092908983546,BID GOLDEN FRY COOKING OIL 5L,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,11.0,11369.81982421875,1298.45,BIDCO AFRICA LIMITED,2025-09-23,1033.6199840198863,-264.8300159801138,-4.820102912376424,True
DONHOLM,652579,8041135293662,FD-KAP-POSTMAN VEGETABLE OIL 10 LITRES,FOODS,COOKING OILS AND FATS,COOKING OIL,VEGETABLE OIL,1.0,2068.965087890625,1586.21,KAPA OIL REFINERIES LTD,2025-09-25,2068.965087890625,482.75508789062496,8.781793047902934,True
DONHOLM,655383,4735945041363,FD-SESIA HONEY JAR 1 KG,FOODS,BREAKFAST,HONEY,NATURAL HONEY,1.0,685.3447875976562,867.38,SESIA LIMITED,2025-09-22,685.3447875976562,-182.03521240234375,-3.3136974229068086,True
OUTERING,230149,6942872109614,PC-HKL-PAMPERS MINI UNISEX HC 4*32,PERSONAL CARE,DIAPERS AND WIPES,BABY DIAPERS,BABY DIAPER TAPED,1.0,990.5172119140625,1253.92,HASBAH KENYA LTD,2025-09-25,990.5172119140625,-263.4027880859376,-4.794135293134574,True
